"assay_long"	"cometh_count"	"TPR"	"FPR"	"SNR"
"17"	"chr10_28871996_28872138_CT_converted.0.143.methylotype_NeuNneg_C"	11	5.23889354568315e-05	0	19088
"18"	"chr10_28871996_28872138_CT_converted.0.143.methylotype_NeuNneg_C"	12	9.39726973610577e-05	0	10641.3887020593
"20"	"chr10_28871996_28872138_CT_converted.0.143.methylotype_NeuNneg_C"	14	0.000135556459265284	0	7377
"27"	"chr10_28871996_28872138_CT_converted.0.143.methylotype_NeuNneg_C"	8	0.00013537160220894	0	7387.0736822376
"49"	"chr10_73932433_73932650_CT_converted.4.218.methylotype_NeuNneg_C"	19	6.38732754215636e-05	0	15656
"74"	"chr10_73932433_73932650_CT_converted.4.218.methylotype_NeuNneg_G"	26	0.000180405125043351	0	5543.07977536503
"114"	"chr15_69759135_69759314_CT_converted.0.180.methylotype_NeuNneg_C"	0	7.97378220411288e-06	0	125411
"122"	"chr15_69759135_69759314_CT_converted.0.180.methylotype_NeuNneg_C"	16	3.54570991280103e-05	0	28203.0968294872
"125"	"chr15_69759135_69759314_CT_converted.0.180.methylotype_NeuNneg_C"	3	0.0556013578117878	1.09520253846471e-05	5076.81053129509
"127"	"chr15_69759135_69759314_CT_converted.0.180.methylotype_NeuNneg_C"	5	0.000273660570304203	0	3654.16179206377
"154"	"chr17_61139320_61139546_CT_converted.0.227.methylotype_NeuNneg_C"	0	8.75626072641939e-06	0	114204
"178"	"chr17_61139320_61139546_CT_converted.0.227.methylotype_NeuNneg_G"	19	0.000142231062505324	0	7030.81297703565
"179"	"chr17_61139320_61139546_CT_converted.0.227.methylotype_NeuNneg_G"	20	2.06759222080333e-05	0	48365.4363727227
"180"	"chr17_61139320_61139546_CT_converted.0.227.methylotype_NeuNneg_G"	22	8.75626072641939e-06	0	114204
"219"	"chr2_230416158_230416265_CT_converted.7.108.methylotype_NeuNneg_C"	16	5.73545550242618e-05	0	17435.4068229975
"260"	"chr21_35049052_35049274_GA_converted.0.223.methylotype_NeuNneg_C"	22	8.37380673254061e-05	0	11942
"288"	"chr4_121706742_121706917_CT_converted.0.176.methylotype_NeuNneg_C"	16	4.23387950378932e-05	0	23619
"290"	"chr4_121706742_121706917_CT_converted.0.176.methylotype_NeuNneg_C"	26	4.23387950378932e-05	0	23619
"304"	"chr4_121706742_121706917_CT_converted.0.176.methylotype_NeuNneg_G"	16	4.23387950378932e-05	0	23619
"305"	"chr4_121706742_121706917_CT_converted.0.176.methylotype_NeuNneg_G"	17	4.23387950378932e-05	0	23619
"306"	"chr4_121706742_121706917_CT_converted.0.176.methylotype_NeuNneg_G"	18	8.46775900757864e-05	0	11809.5
"350"	"chr6_25963186_25963277_CT_converted.0.92.methylotype_NeuNneg_C"	12	0.000157257430413587	0	6359
"364"	"chr6_25963186_25963277_CT_converted.0.92.methylotype_NeuNneg_G"	15	0.000319911952209293	0	3125.86007835612
