"assay_long"	"cometh_count"	"TPR"	"FPR"	"SNR"
"7"	"chr1_241913294_241913458_GA_converted.0.165.methylotype_NeuNpos_C"	16	0.000132057830367006	0	7572.44002283599
"8"	"chr1_241913294_241913458_GA_converted.0.165.methylotype_NeuNpos_C"	2	0.000148857121021426	0	6717.85127334327
"16"	"chr1_241913294_241913458_GA_converted.0.165.methylotype_NeuNpos_G"	1	0.000289853022218279	0	3450.02440321954
"29"	"chr1_241913294_241913458_GA_converted.0.165.methylotype_NeuNpos_G"	22	0.000137551581843191	0	7270
"43"	"chr10_28871996_28872138_CT_converted.0.143.methylotype_NeuNpos_C"	17	0.000155908949173683	0	6414
"57"	"chr10_28871996_28872138_CT_converted.0.143.methylotype_NeuNpos_G"	15	0.000261101013201999	0	3829.93534853255
"59"	"chr10_28871996_28872138_CT_converted.0.143.methylotype_NeuNpos_G"	17	0.000121328034607167	0	8242.11818181818
"60"	"chr10_28871996_28872138_CT_converted.0.143.methylotype_NeuNpos_G"	20	0.000125078173858662	0	7995
"61"	"chr10_28871996_28872138_CT_converted.0.143.methylotype_NeuNpos_G"	3	0.000277964528771608	0	3597.5813331983
"78"	"chr10_73932433_73932650_CT_converted.4.218.methylotype_NeuNpos_C"	19	0.000131716130563407	0	7592.08455124339
"103"	"chr10_73932433_73932650_CT_converted.4.218.methylotype_NeuNpos_G"	26	0.000129879284787517	0	7699.4572432086
"104"	"chr10_73932433_73932650_CT_converted.4.218.methylotype_NeuNpos_G"	3	0.000174003828084218	0	5747
"105"	"chr10_73932433_73932650_CT_converted.4.218.methylotype_NeuNpos_G"	4	0.0001521405454496	0	6572.86982273421
"144"	"chr12_47207632_47207829_CT_converted.0.198.methylotype_NeuNpos_C"	14	0.000173614162621281	0	5759.89875999564
"145"	"chr12_47207632_47207829_CT_converted.0.198.methylotype_NeuNpos_C"	15	0.00013271400132714	0	7535
"146"	"chr12_47207632_47207829_CT_converted.0.198.methylotype_NeuNpos_C"	17	5.96018595780188e-05	0	16778
"147"	"chr12_47207632_47207829_CT_converted.0.198.methylotype_NeuNpos_C"	18	0.00013271400132714	0	7535
"161"	"chr12_47207632_47207829_CT_converted.0.198.methylotype_NeuNpos_G"	14	0.000178424675004426	0	5604.60597714522
"162"	"chr12_47207632_47207829_CT_converted.0.198.methylotype_NeuNpos_G"	16	0.000117441629748423	0	8514.8682127636
"163"	"chr12_47207632_47207829_CT_converted.0.198.methylotype_NeuNpos_G"	17	5.96018595780188e-05	0	16778
